iter	Passed	Remaining
0	5	570
1	10	505
2	14	476
3	18	451
4	24	466
5	30	473
6	35	465
7	40	464
8	56	570
9	61	555
10	66	541
11	71	526
12	76	509
13	82	504
14	86	491
15	89	471
16	92	451
17	95	433
18	97	414
19	99	396
20	101	381
21	103	367
22	105	353
23	107	340
24	109	328
25	111	317
26	114	308
27	116	298
28	118	289
29	120	280
30	122	273
31	124	265
32	127	258
33	129	250
34	131	244
35	133	237
36	135	230
37	137	224
38	139	218
39	142	214
40	144	208
41	145	201
42	147	196
43	150	191
44	152	186
45	154	181
46	156	176
47	159	172
48	161	167
49	163	163
50	165	159
51	167	154
52	170	150
53	172	146
54	173	142
55	175	138
56	177	134
57	180	130
58	182	126
59	184	122
60	186	119
61	188	115
62	190	112
63	192	108
64	194	104
65	197	101
66	199	98
67	201	94
68	203	91
69	206	88
70	208	84
71	210	81
72	212	78
73	214	75
74	216	72
75	218	69
76	220	65
77	222	62
78	224	59
79	226	56
80	228	53
81	230	50
82	232	47
83	235	44
84	237	41
85	239	38
86	241	36
87	243	33
88	245	30
89	248	27
90	250	24
91	252	21
92	254	19
93	256	16
94	258	13
95	260	10
96	262	8
97	264	5
98	266	2
99	268	0
